unit_id,method_id,dataset_id,track,tier,replicate,prevalence,noise_condition,duplicate_fraction,n_cells,n_positive,n_background,n_missing_scores,is_degenerate,n_unique_scores,ap,auroc,f1_score,f1_top_k,precision_top_k,recall_top_k,balanced_accuracy_top_k,specificity_top_k,ap_chance,ap_above_chance,runtime_seconds,method_fidelity
bcc_yost_track_c_T4_rep04,CaSee,bcc_yost,C,T4,4,0.0005,,,2000,1,1999,0,False,2000,0.0056179775280898875,0.9114557278639319,0.0,0.0,0.0,0.0,0.49974987493746875,0.0,0.0005,0.005117977528089887,376.59289288520813,faithful
rcc_multi_track_b_T2_rep03,CaSee,rcc_multi,B,T2,3,0.0306,,,5000,153,4847,0,False,4999,0.8446357415246692,0.9961312906979723,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8853815647708778,0.9929853517639777,0.0306,0.8140357415246693,90.81985473632812,faithful
hnscc_puram_track_e_noise10_T4_rep01,CaSee,hnscc_puram,E,T4,1,0.10104529616724739,noise10,,1148,116,1032,0,False,1148,0.10608388921768974,0.4941776931301791,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.5013365410318097,0.8992248062015504,0.10104529616724739,0.005038593050442353,204.81020164489746,faithful
hcc_wei_track_c_T4_rep04,CaSee,hcc_wei,C,T4,4,0.0005,,,2000,1,1999,0,False,2000,0.0010111223458038423,0.5057528764382191,0.0,0.0,0.0,0.0,0.49974987493746875,0.0,0.0005,0.0005111223458038423,400.5134348869324,faithful
pdac_peng_track_a_T4_rep04,CaSee,pdac_peng,A,T4,4,0.001,,,2000,2,1998,0,False,2000,0.01412565026010404,0.9246746746746747,0.0,0.0,0.0,0.0,0.4994994994994995,0.0,0.001,0.013125650260104042,473.16330432891846,faithful
hcc_wei_track_a_T2_rep01,CaSee,hcc_wei,A,T2,1,0.0315,,,2000,63,1937,0,False,2000,0.6818238838497871,0.9374421253615886,0.5873015873015873,0.5873015873015873,0.5873015873015873,0.5873015873015873,0.7869393842548205,0.9865771812080537,0.0315,0.6503238838497871,320.773690700531,faithful
bcc_yost_track_e_noise10_T1_rep03,CaSee,bcc_yost,E,T1,3,0.1425,noise10,,2000,285,1715,0,False,2000,0.3895823105249545,0.638207764308731,0.3929824561403509,0.3929824561403509,0.3929824561403509,0.3929824561403509,0.6460539102859189,0.8991253644314868,0.1425,0.24708231052495452,565.3897614479065,faithful
rcc_multi_track_c_T4_rep01,CaSee,rcc_multi,C,T4,1,0.0005,,,2000,1,1999,0,False,2000,0.002770083102493075,0.8199099549774888,0.0,0.0,0.0,0.0,0.49974987493746875,0.0,0.0005,0.002270083102493075,439.75872683525085,faithful
pdac_peng_track_e_noise10_T3_rep03,CaSee,pdac_peng,E,T3,3,0.1025,noise10,,2000,205,1795,0,False,2000,0.11097743928232714,0.5219675249677288,0.1073170731707317,0.1073170731707317,0.1073170731707317,0.1073170731707317,0.5026836062232489,0.898050139275766,0.1025,0.008477439282327151,401.5720911026001,faithful
rcc_multi_track_e_noise20_T2_rep04,CaSee,rcc_multi,E,T2,4,0.2205,noise20,,2000,441,1559,0,False,2000,0.2779931737674574,0.5571133306861338,0.28798185941043086,0.28798185941043086,0.28798185941043086,0.28798185941043086,0.5432853492048947,0.7985888389993585,0.2205,0.05749317376745741,423.3645763397217,faithful
