method_id,dataset_id,mean_ap,median_ap,std_ap,mean_auroc,mean_f1_top_k,mean_runtime_s,n_units,n_fallback,category,breakdown_tier
scMalignantFinder,ov_izar_tirosh,0.34327792529498286,0.28994771073293135,0.2227858130651721,0.9676993759745853,0.30582554368672143,8.070757281780242,20,0,ranked,T2
hvg_logreg,ov_izar_tirosh,0.2773569811623317,0.05385199591772302,0.4288122316742331,0.6237033169960566,0.2702504944200095,3.6865,20,0,supervised_ceiling,T4
random_baseline,ov_izar_tirosh,0.028162650018647428,0.011222635912891778,0.029437339091690294,0.5517871286716642,0.02025049442000948,20.012964046001436,20,0,naive_baseline,none
CaSee,ov_izar_tirosh,0.025224999999999997,0.0095,0.028229545459360572,0.5,0.021827780357741904,165.5870358109474,20,0,exploratory,none
hvg_logreg,pdac_peng,0.9999983949666152,1.0,7.177927508662263e-06,0.999999844248405,0.999715909090909,2.7969999999999997,20,0,supervised_ceiling,T4
CaSee,pdac_peng,0.44882738951115364,0.5639989825664713,0.27374456374664763,0.8823452192609842,0.4158766245978557,463.65740238428117,20,0,exploratory,T2
FiRE,pdac_peng,0.37399295764511126,0.4779273982554958,0.21344948423109106,0.8943577143649339,0.3701898169125181,171.23077309131622,20,0,ranked,T2
expr_threshold,pdac_peng,0.3262140953440004,0.4352135030848462,0.22437267097357358,0.7335648054322885,0.3153066955462211,11.839520037174225,20,0,naive_baseline,T1
scCAD,pdac_peng,0.23518674753102706,0.2687317723233419,0.22173102131432174,0.8335172843284117,0.19318074373721986,112.28775143623352,20,0,ranked,none
cellsius,pdac_peng,0.19524604778319363,0.2101231663466309,0.21145711563392172,0.7633404399799479,0.05364680322780881,38.493506002426145,20,0,ranked,none
scMalignantFinder,pdac_peng,0.19007209574804265,0.15524010231573138,0.173407168904778,0.8004413848624289,0.24873392595991314,9.272540962696075,20,0,ranked,none
RareQ,pdac_peng,0.1552766000868325,0.13703014398374475,0.14481321636728905,0.8134431815217764,0.06989807053217717,103.30068383216857,20,0,ranked,none
random_baseline,pdac_peng,0.08845965880634314,0.03155568997872026,0.21895345511938621,0.5312675520566443,0.0756379846153078,7.528378784656525,20,0,naive_baseline,none
DeepScena,pdac_peng,0.030869840367673224,0.013702957983268288,0.03475414376769722,0.4426310276591277,0.02665304925577322,85.25447415113449,20,0,ranked,none
hvg_logreg,rcc_multi,1.0,1.0,0.0,1.0,1.0,3.5854999999999997,20,0,supervised_ceiling,T4
cellsius,rcc_multi,0.1931485798916642,0.14867206682931594,0.19956882882232713,0.861756485396965,0.161018445802523,39.99449130296707,20,0,ranked,none
FiRE,rcc_multi,0.13464308361427724,0.1335725909324848,0.107484707980127,0.8057373744512137,0.15131565788111986,157.69711244106293,20,0,ranked,none
scCAD,rcc_multi,0.11628791953177797,0.10186239883721818,0.10865154239611077,0.7962606864771612,0.10360895619021801,138.90035684108733,20,0,ranked,none
scMalignantFinder,rcc_multi,0.10500153963425238,0.10156653370569702,0.0885731411138345,0.647422705216435,0.15231929590075868,5.321391987800598,20,0,ranked,none
CaSee,rcc_multi,0.11302515663677384,0.09254982158455158,0.0973741609662647,0.8247339234884729,0.093369117314403,425.72038702964784,20,0,exploratory,none
RareQ,rcc_multi,0.16263545527735637,0.06692588779942986,0.18031139899736076,0.8305085071358546,0.09426427626382662,91.99597117900848,20,0,ranked,none
random_baseline,rcc_multi,0.03187498099985607,0.02636992956683323,0.030068178075190213,0.49606860594485436,0.023807935290102653,10.288377964496613,20,0,naive_baseline,none
DeepScena,rcc_multi,0.028412280452343237,0.015048760547310212,0.029156353638088137,0.48592903256177056,0.022999964746580677,86.40624059438706,20,0,ranked,none
