method_id,dataset_id,mean_ap,median_ap,std_ap,mean_auroc,mean_f1_top_k,mean_runtime_s,n_units,n_fallback,category,breakdown_tier
FiRE,hnscc_puram,0.7769655919107878,0.8374987062364481,0.2353430138803306,0.987682407970176,0.7016947220898675,94.432564163208,20,0,ranked,T4
CaSee,hnscc_puram,0.6850639354174437,0.749126165138682,0.2260216788679871,0.9876535297486432,0.5654436570385409,208.9056257247925,20,0,exploratory,T3
cellsius,hnscc_puram,0.2003887531019207,0.1782789790854307,0.1865569642419143,0.9033241371810335,0.0418544248149511,34.58198308944702,20,0,ranked,none
RareQ,hnscc_puram,0.1356679538438523,0.1311487274120438,0.1081625840293998,0.8709172951564914,0.0017045454545454,69.06336852312089,20,0,ranked,none
scCAD,hnscc_puram,0.0719509425750436,0.057314588606833,0.0707119266112424,0.6967682870624482,0.0007246376811594,79.42592667341232,20,0,ranked,none
random_baseline,hnscc_puram,0.0315510409771053,0.0200631656834476,0.0328092932316636,0.5190124695291101,0.0265083891354731,24.0940486073494,20,0,naive_baseline,none
DeepScena,hnscc_puram,0.029085165328178,0.020238027030646,0.0314258316696564,0.4722902667077444,0.0192617593622824,51.09464331865311,20,0,ranked,none
scMalignantFinder,hnscc_puram,0.0277951888501987,0.0145691727553,0.032064589050571,0.5,0.0381318867286503,6.1145938515663145,20,0,ranked,none
hvg_logreg,luad_laughney,0.9982954545454544,1.0,0.0076229590142038,0.9999905873493976,0.99375,2.5425,20,0,supervised_ceiling,T4
CaSee,luad_laughney,0.5377557638015474,0.6429534643857564,0.208815140889726,0.9513745321150882,0.4766205790577204,351.61686236858367,20,0,exploratory,T3
scMalignantFinder,luad_laughney,0.5036168863448156,0.5827315402683546,0.2729622950973973,0.9406214536262948,0.4722301767155694,7.466007018089295,20,0,ranked,T3
RareQ,luad_laughney,0.2787178216953685,0.3254338839025544,0.2433408072703782,0.874425987502863,0.1483702771001966,88.55230553150177,20,0,ranked,T2
scCAD,luad_laughney,0.2584081262322594,0.2662416000042686,0.1889219074307606,0.8609323491931533,0.2211328046499701,103.44851126670838,20,0,ranked,none
cellsius,luad_laughney,0.2360407086793251,0.2094232748522402,0.2404936008953218,0.8028750031487866,0.1110714942357415,38.88563414812088,20,0,ranked,none
expr_threshold,luad_laughney,0.1884932506090178,0.211765694383833,0.1329985352842067,0.7965572902574878,0.1952268850532386,10.467819380760194,20,0,naive_baseline,none
FiRE,luad_laughney,0.1113957578068088,0.0996903123979668,0.0877229170293321,0.8056695701000874,0.1407148171135913,103.30137301683426,20,0,ranked,none
random_baseline,luad_laughney,0.0295954594582285,0.0213830970565559,0.0274075693504773,0.4884338023056495,0.022531387849671,7.813054704666138,20,0,naive_baseline,none
DeepScena,luad_laughney,0.0279171035998303,0.0150778598123923,0.0275472892678942,0.4602669741483677,0.0304137135322301,85.26258853673934,20,0,ranked,none
expr_threshold,ov_izar_tirosh,0.5716953195185405,0.6592119336479019,0.3037823509371252,0.9514401681097092,0.5257007283300807,20.42386574745178,20,0,naive_baseline,T2
FiRE,ov_izar_tirosh,0.55194760140153,0.5920782646602841,0.2482415527405143,0.9728905429915186,0.4527305274303392,45.65651191473008,20,0,ranked,T2
scMalignantFinder,ov_izar_tirosh,0.3432779252949828,0.2899477107329313,0.2227858130651721,0.9676993759745852,0.3058255436867214,8.070757281780242,20,0,ranked,T2
RareQ,ov_izar_tirosh,0.3339250107071535,0.4300058007699203,0.3040543718787271,0.8951502400083731,0.1809731557593636,48.79405723810196,20,0,ranked,T2
cellsius,ov_izar_tirosh,0.3187314822920074,0.338178676841772,0.2917224140009447,0.8739163678921955,0.2014663542971027,43.36282128095627,20,0,ranked,T2
hvg_logreg,ov_izar_tirosh,0.2773569811623317,0.053851995917723,0.4288122316742331,0.6237033169960566,0.2702504944200095,3.6865,20,0,supervised_ceiling,T4
random_baseline,ov_izar_tirosh,0.0281626500186474,0.0112226359128917,0.0294373390916902,0.5517871286716642,0.0202504944200094,20.01296404600144,20,0,naive_baseline,none
CaSee,ov_izar_tirosh,0.0252249999999999,0.0095,0.0282295454593605,0.5,0.0218277803577419,165.5870358109474,20,0,exploratory,none
hvg_logreg,pdac_peng,0.9999983949666152,1.0,7.177927508662263e-06,0.999999844248405,0.999715909090909,2.797,20,0,supervised_ceiling,T4
CaSee,pdac_peng,0.4488273895111536,0.5639989825664713,0.2737445637466476,0.8823452192609842,0.4158766245978557,463.6574023842812,20,0,exploratory,T2
FiRE,pdac_peng,0.3739929576451112,0.4779273982554958,0.213449484231091,0.8943577143649339,0.3701898169125181,171.23077309131622,20,0,ranked,T2
expr_threshold,pdac_peng,0.3262140953440004,0.4352135030848462,0.2243726709735735,0.7335648054322885,0.3153066955462211,11.839520037174225,20,0,naive_baseline,T1
scCAD,pdac_peng,0.235186747531027,0.2687317723233419,0.2217310213143217,0.8335172843284117,0.1931807437372198,112.28775143623352,20,0,ranked,none
cellsius,pdac_peng,0.1952460477831936,0.2101231663466309,0.2114571156339217,0.7633404399799479,0.0536468032278088,38.49350600242615,20,0,ranked,none
scMalignantFinder,pdac_peng,0.1900720957480426,0.1552401023157313,0.173407168904778,0.8004413848624289,0.2487339259599131,9.272540962696077,20,0,ranked,none
RareQ,pdac_peng,0.1552766000868325,0.1370301439837447,0.144813216367289,0.8134431815217764,0.0698980705321771,103.30068383216856,20,0,ranked,none
random_baseline,pdac_peng,0.0884596588063431,0.0315556899787202,0.2189534551193862,0.5312675520566443,0.0756379846153078,7.528378784656525,20,0,naive_baseline,none
DeepScena,pdac_peng,0.0308698403676732,0.0137029579832682,0.0347541437676972,0.4426310276591277,0.0266530492557732,85.25447415113449,20,0,ranked,none
hvg_logreg,rcc_multi,1.0,1.0,0.0,1.0,1.0,3.5855,20,0,supervised_ceiling,T4
cellsius,rcc_multi,0.1931485798916642,0.1486720668293159,0.1995688288223271,0.861756485396965,0.161018445802523,39.99449130296707,20,0,ranked,none
RareQ,rcc_multi,0.1626354552773563,0.0669258877994298,0.1803113989973607,0.8305085071358546,0.0942642762638266,91.99597117900848,20,0,ranked,none
FiRE,rcc_multi,0.1346430836142772,0.1335725909324848,0.107484707980127,0.8057373744512137,0.1513156578811198,157.69711244106293,20,0,ranked,none
scCAD,rcc_multi,0.1162879195317779,0.1018623988372181,0.1086515423961107,0.7962606864771612,0.103608956190218,138.90035684108733,20,0,ranked,none
CaSee,rcc_multi,0.1130251566367738,0.0925498215845515,0.0973741609662647,0.8247339234884729,0.093369117314403,425.72038702964784,20,0,exploratory,none
scMalignantFinder,rcc_multi,0.1050015396342523,0.101566533705697,0.0885731411138345,0.647422705216435,0.1523192959007586,5.321391987800598,20,0,ranked,none
random_baseline,rcc_multi,0.031874980999856,0.0263699295668332,0.0300681780751902,0.4960686059448543,0.0238079352901026,10.288377964496611,20,0,naive_baseline,none
DeepScena,rcc_multi,0.0284122804523432,0.0150487605473102,0.0291563536380881,0.4859290325617705,0.0229999647465806,86.40624059438706,20,0,ranked,none
expr_threshold,rcc_multi,0.0195105451493219,0.0089720168359326,0.0206440030466078,0.3394919455041997,0.0050188165025563,14.328250896930694,20,0,naive_baseline,none
